Species,G1,G2,G3,G4,G5,G6,G7,G8,SLA ,LDMC ,N,C
Acer monspessulanum,0,0.5,0,0,1,0,0,0,0.134,0.906,0.471,0.808
Acinos arvensis,0.5,2,1,0,0,16,28,0.5,0.074,0.511,0.082,0.745
Arrhenatherum elatius,0,1,0,0,0,0,0,0,0.683,0.503,0.659,0.58
Bromus erectus,10,11,17,32,9,11,7,9,0.299,0.587,0.403,0.547
Bromus sterilis,0,0.5,0,0,0,0,0,1,0.959,0.237,0.666,0.644
Bupleurum baldense**,1,1,0,0,0,0,0,0,0.394,0.535,0.109,0.463
Carlina corymbosa**,0,0,0,1,0,0,0,0,0,0.103,0.407,0.587
Cerastium arvense**,3,2,6,0,3,10,2,1,0.738,0,0.579,0.274
Convolvulus arvensis,0,1,2,6,0,3,3,1,0.587,0.021,1,0.593
Cynosurus echinatus*,0,1,0,1,4,3,2,6,0.627,0.327,0.68,0.601
Dactylis hispanica,0,25,11,0,20,10,12,25,0.454,0.388,0.569,0.499
Echium vulgare,0,0,0,0,0,0,20,2,0.094,0.056,0.116,0
Erysimum pseudorhaeticum,1,2,0,0,0,1,0,1,0.018,0.226,0.389,0.331
Geranium columbinum**,1,3,3,1,1,0,1,0,0.691,0.309,0.704,0.518
Hypericum perforatum,1,1,0,1,2,0,0.5,1,0.263,0.624,0.261,0.814
Marrubium incanum,1,0,7,0,0,1,2,0.5,0.063,0.495,0.501,0.641
Opopanax chironium,0,1,0,5,0,0,0,0,0.346,0.18,0.639,0.539
Orlaya grandiflora,1,4,8,7,3,12,1,6,0.077,0.428,0.299,0.49
Phleum ambiguum,1,5,3,0,0,10,2,2,0.261,0.616,0.382,0.635
Phleum pratense*,40,4,5,23,21,6,7,28,0.439,0.492,0.505,0.651
Prunus spinosa,20,18,0,0,16,7,3,1,0.198,0.547,0.635,1
Rubus ulmifolius,0,0,0,9,0,0,0,0,0.072,1,0.391,0.807
Sanguisorba minor,3,7,4,1,12,1,19,2,0.147,0.914,0.177,0.551
Stachys heraclea,0,0,0,0,5,3,4,0,0.086,0.499,0.431,0.529
Teucrium chamaedrys,24,26,73,22,26,47,21,4,0.044,0.674,0.211,0.914
Thymus longicaulis,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Torilis arvensis ,1,0,0,0,0,0,1,0,0.459,0.359,0.6,0.37
Trifolium incarnatum ,18,4,37,13,30,12,15,25,0.577,0.251,0.627,0.564
Xeranthemum cylindraceum ,1,0.5,10,2,8,3,2,2,1,0.048,0.577,0.533
