Species,N1,N2,N3,N4,N5,N6,N7,SLA,LDMC,N,C
Acer monspessulanum,60,0,0,1,0,0,0,0.131,0.915,0.269,0.868
Acinos arvensis,0,0,0,0,2,4,0,0.04,0.475,0,0.722
Arrhenatherum elatius,0.5,0,0.5,0,0,3,0,0.849,0.313,0.603,0.384
Bromus erectus,0.5,18,86,61,58,65,2,0.039,0.757,0.297,0.54
Bromus sterilis,0.5,4,0,0,0,0,0,0.385,0.317,0.495,0.391
Bupleurum baldense**,0,0,0.5,1,2,2,0,0.394,0.535,0.109,0.463
Carlina corymbosa**,0,0,18,0,0,5,0,0,0.103,0.407,0.587
Cerastium arvense**,0,3,6,3,0,0,2,0.738,0,0.579,0.274
Convolvulus arvensis,0,0,3,1,0,0,0,0.364,0.126,0.667,0.649
Cynosurus echinatus*,0.5,0,0.5,0,0,0,0,0.627,0.327,0.68,0.601
Dactylis hispanica,0.5,25,17,11,11,22,4,0.31,0.666,0.233,0.483
Echium vulgare,0,0,0,0,0,0,0,NA,NA,NA,NA
Erysimum pseudorhaeticum,0,0,0,0,0,0,0,NA,NA,NA,NA
Geranium columbinum**,0.5,2,1,3,1,1,0.5,0.691,0.309,0.704,0.518
Hypericum perforatum,0,0,2,4,4,1,0,0.24,0.725,0.313,0.791
Marrubium incanum,0,0,0,0,0,0,0,NA,NA,NA,NA
Opopanax chironium,0.5,0,0,0,5,0,0,0.553,0.066,0.414,0.283
Orlaya grandiflora,0,0,1,2,1,2,0.5,0.187,0.318,0.34,0.353
Phleum ambiguum,0,0,1,3,1,5,0,0.265,0.631,0.302,0.446
Phleum pratense*,0,0,2,0,0,0,0,0.439,0.492,0.505,0.651
Prunus spinosa,140,40,0,3,0,0,140,0.304,0.509,0.453,0.709
Rubus ulmifolius,0,4,17,0.5,7,0,0,0.052,0.822,0.399,0.773
Sanguisorba minor,0.5,0,1,0,0,2,0.5,0.256,0.719,0.159,0.514
Stachys heraclea,0,0,0,0,0,0,0,NA,NA,NA,NA
Teucrium chamaedrys,0.5,20,12,98,43,36,50,0.043,0.723,0.192,0.797
Thymus longicaulis,0,0,0,0,0,6,0,0.129,0.544,0.174,0.665
Torilis arvensis,0,2,0,2,0,0,0.5,0.354,0.473,0.586,0.308
Trifolium incarnatum,0,0,4,0,0,0,0,0.522,0.316,0.607,0.625
Xeranthemum cylindraceum,0,1,4,1,11,3,3,0.645,0.391,0.383,0.681
